"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 11 12:00:11 WAT 2023","Fri Aug 11 12:00:11 WAT 2023","255","Transactional","Blocked Domains","","","","Get the list of blocked domains",""
"passed","Fri Aug 11 12:00:16 WAT 2023","Fri Aug 11 12:00:17 WAT 2023","278","Account","Webhooks","","","","Update a webhook",""
"passed","Fri Aug 11 12:00:01 WAT 2023","Fri Aug 11 12:00:01 WAT 2023","271","Contact management","Folders","","","","Update a folder",""
"passed","Fri Aug 11 11:59:53 WAT 2023","Fri Aug 11 11:59:54 WAT 2023","275","Marketing","SMS Campaigns","","","","Export an SMS campaign's recipients",""
"failed","Fri Aug 11 11:59:59 WAT 2023","Fri Aug 11 11:59:59 WAT 2023","331","Contact management","Contacts","","","","Get a contact's details",""
"passed","Fri Aug 11 11:59:58 WAT 2023","Fri Aug 11 11:59:59 WAT 2023","272","Contact management","Contacts","","","","Export contacts",""
"passed","Fri Aug 11 12:00:04 WAT 2023","Fri Aug 11 12:00:04 WAT 2023","255","Contact management","Lists","","","","Delete a list",""
"passed","Fri Aug 11 12:00:14 WAT 2023","Fri Aug 11 12:00:15 WAT 2023","257","Transactional","SMS statistics","","","","Get your SMS activity aggregated over a period of time",""
"passed","Fri Aug 11 12:00:04 WAT 2023","Fri Aug 11 12:00:04 WAT 2023","265","Contact management","Lists","","","","Update a list",""
"passed","Fri Aug 11 11:59:56 WAT 2023","Fri Aug 11 11:59:56 WAT 2023","282","Conversations","Pushed messages","","","","Update an automated message",""
"failed","Fri Aug 11 11:59:55 WAT 2023","Fri Aug 11 11:59:56 WAT 2023","265","Conversations","Status","","","","Sets agent’s status to online for 2-3 minutes",""
"passed","Fri Aug 11 11:59:42 WAT 2023","Fri Aug 11 11:59:43 WAT 2023","493","Sales CRM","Tasks","","","","Get a task",""
"passed","Fri Aug 11 12:00:09 WAT 2023","Fri Aug 11 12:00:09 WAT 2023","263","Transactional","Templates","","","","Send a template to your test list",""
"passed","Fri Aug 11 12:00:22 WAT 2023","Fri Aug 11 12:00:23 WAT 2023","364","Account","Process","","","","Return the informations for a process",""
"passed","Fri Aug 11 11:59:41 WAT 2023","Fri Aug 11 11:59:42 WAT 2023","289","Sales CRM","Tasks","","","","Get all tasks",""
"passed","Fri Aug 11 11:59:48 WAT 2023","Fri Aug 11 11:59:49 WAT 2023","442","Marketing","Email Campaigns","","","","Update an email campaign status",""
"failed","Fri Aug 11 12:00:06 WAT 2023","Fri Aug 11 12:00:06 WAT 2023","311","Transactional","Email API","","","","Send a transactional email",""
"passed","Fri Aug 11 12:00:21 WAT 2023","Fri Aug 11 12:00:22 WAT 2023","265","Account","Reseller","Child accounts","","","Get the list of all children accounts",""
"failed","Fri Aug 11 11:59:57 WAT 2023","Fri Aug 11 11:59:57 WAT 2023","375","Contact management","Contacts","","","","Get all the contacts",""
"passed","Fri Aug 11 11:59:51 WAT 2023","Fri Aug 11 11:59:52 WAT 2023","275","Marketing","SMS Campaigns","","","","Get an SMS campaign",""
"passed","Fri Aug 11 12:00:14 WAT 2023","Fri Aug 11 12:00:14 WAT 2023","298","Transactional","Inbound Email Parsing","","","","Retrieve inbound attachment with download token.",""
"passed","Fri Aug 11 12:00:05 WAT 2023","Fri Aug 11 12:00:06 WAT 2023","268","Contact management","Attributes","","","","Delete an attribute",""
"passed","Fri Aug 11 12:00:23 WAT 2023","Fri Aug 11 12:00:24 WAT 2023","269","Account","Corporate","","","","Generate SSO token to access Sendinblue",""
"passed","Fri Aug 11 11:59:43 WAT 2023","Fri Aug 11 11:59:44 WAT 2023","266","Sales CRM","Notes","","","","Get all notes",""
"passed","Fri Aug 11 11:59:37 WAT 2023","Fri Aug 11 11:59:37 WAT 2023","271","Sales CRM","Companies","","","","Get company attributes",""
"passed","Fri Aug 11 11:59:52 WAT 2023","Fri Aug 11 11:59:52 WAT 2023","273","Marketing","SMS Campaigns","","","","Delete an SMS campaign",""
"passed","Fri Aug 11 12:00:11 WAT 2023","Fri Aug 11 12:00:11 WAT 2023","330","Transactional","Blocked Contacts","","","","Get the list of blocked or unsubscribed transactional contacts",""
"failed","Fri Aug 11 11:59:57 WAT 2023","Fri Aug 11 11:59:58 WAT 2023","339","Contact management","Contacts","","","","Create a contact",""
"passed","Fri Aug 11 11:59:39 WAT 2023","Fri Aug 11 11:59:39 WAT 2023","384","Sales CRM","Deals","","","","Get all deals",""
"passed","Fri Aug 11 12:00:12 WAT 2023","Fri Aug 11 12:00:12 WAT 2023","297","Transactional","Blocked Domains","","","","Add a new domain to the list of blocked domains",""
"passed","Fri Aug 11 11:59:37 WAT 2023","Fri Aug 11 11:59:37 WAT 2023","292","Sales CRM","Companies","","","","Create a company",""
"passed","Fri Aug 11 12:00:24 WAT 2023","Fri Aug 11 12:00:24 WAT 2023","392","Account","Corporate","","","","Get sub-account details",""
